df shape: (19193, 1409)
training tensor data shape: torch.Size([15353, 1408])
Epoch [1/50], Reconstruction Loss: 0.7216, hidden_dim: 600, learning_rate: 0.0001, batch_size: 128
Epoch [27/50], Reconstruction Loss: 0.5600, hidden_dim: 600, learning_rate: 0.0001, batch_size: 128
Epoch [28/50], Reconstruction Loss: 0.5595, hidden_dim: 600, learning_rate: 0.0001, batch_size: 128
Epoch [29/50], Reconstruction Loss: 0.5592, hidden_dim: 600, learning_rate: 0.0001, batch_size: 128
Epoch [30/50], Reconstruction Loss: 0.5588, hidden_dim: 600, learning_rate: 0.0001, batch_size: 128
Epoch [31/50], Reconstruction Loss: 0.5584, hidden_dim: 600, learning_rate: 0.0001, batch_size: 128
Epoch [32/50], Reconstruction Loss: 0.5580, hidden_dim: 600, learning_rate: 0.0001, batch_size: 128
Epoch [33/50], Reconstruction Loss: 0.5577, hidden_dim: 600, learning_rate: 0.0001, batch_size: 128
Epoch [34/50], Reconstruction Loss: 0.5574, hidden_dim: 600, learning_rate: 0.0001, batch_size: 128
Epoch [35/50], Reconstruction Loss: 0.5571, hidden_dim: 600, learning_rate: 0.0001, batch_size: 128
Epoch [36/50], Reconstruction Loss: 0.5567, hidden_dim: 600, learning_rate: 0.0001, batch_size: 128
Epoch [37/50], Reconstruction Loss: 0.5564, hidden_dim: 600, learning_rate: 0.0001, batch_size: 128
Epoch [38/50], Reconstruction Loss: 0.5561, hidden_dim: 600, learning_rate: 0.0001, batch_size: 128
Epoch [39/50], Reconstruction Loss: 0.5558, hidden_dim: 600, learning_rate: 0.0001, batch_size: 128
Epoch [40/50], Reconstruction Loss: 0.5555, hidden_dim: 600, learning_rate: 0.0001, batch_size: 128
Epoch [41/50], Reconstruction Loss: 0.5552, hidden_dim: 600, learning_rate: 0.0001, batch_size: 128
Epoch [42/50], Reconstruction Loss: 0.5550, hidden_dim: 600, learning_rate: 0.0001, batch_size: 128
Epoch [43/50], Reconstruction Loss: 0.5547, hidden_dim: 600, learning_rate: 0.0001, batch_size: 128
Epoch [44/50], Reconstruction Loss: 0.5545, hidden_dim: 600, learning_rate: 0.0001, batch_size: 128
Epoch [45/50], Reconstruction Loss: 0.5542, hidden_dim: 600, learning_rate: 0.0001, batch_size: 128
Epoch [46/50], Reconstruction Loss: 0.5539, hidden_dim: 600, learning_rate: 0.0001, batch_size: 128
Epoch [47/50], Reconstruction Loss: 0.5537, hidden_dim: 600, learning_rate: 0.0001, batch_size: 128
Epoch [48/50], Reconstruction Loss: 0.5535, hidden_dim: 600, learning_rate: 0.0001, batch_size: 128
Epoch [49/50], Reconstruction Loss: 0.5532, hidden_dim: 600, learning_rate: 0.0001, batch_size: 128
Epoch [50/50], Reconstruction Loss: 0.5530, hidden_dim: 600, learning_rate: 0.0001, batch_size: 128
Reconstruction Loss (Test Data): 0.5507
